Event Date,Administrator,Program,Start Time,End Time,Event Duration,Zone/Network,Event/Test,Event Type
7/18/2013,Con Edison,DLRP,17:00,0:00,7:00,Fresh Kills,Event,
7/19/2013,Con Edison,DLC,12:00,17:00,5:00,All,Event,
7/19/2013,Con Edison,DLC,17:00,22:00,5:00,All,Event,
7/19/2013,Con Edison,CSRP-Day,12:00,17:00,5:00,All,Event,
7/19/2013,Con Edison,CSRP-Night,17:00,22:00,5:00,All,Event,
7/19/2013,Con Edison,Smart AC,17:00,22:00,5:00,All,Event,
7/19/2013,NYISO,SCR,13:00,18:00,5:00,Zones H I J,Event,
7/19/2013,NYISO,EDRP,13:00,18:00,5:00,Zones H I J,Event,
8/8/2013,NYISO,SCR,15:00,16:00,1:00,Zone J,Test,
8/8/2013,NYISO,SCR,16:00,17:00,1:00,Zones H I,Test,
2/6/2014,Con Edison,DLRP-V,15:00,20:00,5:00,Time Square,Event,
2/20/2014,NYISO,SCR,16:00,17:00,1:00,Zone J,Test,
2/20/2014,NYISO,SCR,18:00,19:00,1:00,Zones H I,Test,
6/26/2014,Con Edison,DLRP,16:00,17:00,1:00,All,Test,
6/26/2014,Con Edison,DLRP SC 11,16:00,17:00,1:00,Southeast Bronx,Test,
7/8/2014,Con Edison,CSRP,11:00,12:00,1:00,All,Test,
7/8/2014,Con Edison,CSRP,14:00,15:00,1:00,All,Test,
7/8/2014,Con Edison,CSRP SC 11,14:00,15:00,1:00,Southeast Bronx,Test,
7/8/2014,Con Edison,CSRP,16:00,17:00,1:00,All,Test,
7/8/2014,Con Edison,CSRP,19:00,20:00,1:00,All,Test,
8/19/2014,NYISO,SCR,13:00,14:00,1:00,Zones H I,Test,
8/19/2014,NYISO,SCR,14:00,15:00,1:00,Zone J,Test,
8/27/2014,Con Edison,Smart AC,19:00,23:00,4:00,All,Test,
8/28/2014,Con Edison,Smart AC,14:00,18:00,4:00,All,Test,
9/4/2014,Con Edison,Smart AC,19:00,23:00,4:00,All,Test,
2/19/2015,NYISO,SCR,17:00,21:00,4:00,Zones H I J,Event,
5/11/2015,Con Edison,DLC,13:00,19:00,6:00,Beekman,Event,
5/11/2015,Con Edison,DLC,13:00,19:00,6:00,Empire,Event,
5/11/2015,Con Edison,DLC,13:00,19:00,6:00,Fashion,Event,
5/11/2015,Con Edison,DLC,13:00,19:00,6:00,Grand Central,Event,
5/11/2015,Con Edison,DLRP,13:00,19:00,6:00,Beekman,Event,
5/11/2015,Con Edison,DLRP,13:00,19:00,6:00,Empire,Event,
5/11/2015,Con Edison,DLRP,13:00,19:00,6:00,Fashion,Event,
5/11/2015,Con Edison,DLRP,13:00,19:00,6:00,Grand Central,Event,
5/12/2015,Con Edison,DLC,13:00,17:00,4:00,Beekman,Event,
5/12/2015,Con Edison,DLC,13:00,17:00,4:00,Empire,Event,
5/12/2015,Con Edison,DLC,13:00,17:00,4:00,Fashion,Event,
5/12/2015,Con Edison,DLC,13:00,17:00,4:00,Grand Central,Event,
5/12/2015,Con Edison,DLRP,13:00,17:00,4:00,Beekman,Event,
5/12/2015,Con Edison,DLRP,13:00,17:00,4:00,Empire,Event,
5/12/2015,Con Edison,DLRP,13:00,17:00,4:00,Fashion,Event,
5/12/2015,Con Edison,DLRP,13:00,17:00,4:00,Grand Central,Event,
6/24/2015,Con Edison,DLRP SC 11,16:00,17:00,1:00,Southeast Bronx,Test,
6/24/2015,Con Edison,DLRP,16:00,17:00,1:00,All,Test,
7/19/2015,Con Edison,DLC,18:14,0:00,5:46,Fox Hills,Event,
7/19/2015,Con Edison,DLRP,18:14,0:00,5:46,Fox Hills,Event,
7/20/2015,Con Edison,DLC,6:00,12:00,6:00,Richmond Hill,Event,
7/20/2015,Con Edison,DLC,14:00,20:00,6:00,Fox Hills,Event,
7/20/2015,Con Edison,DLC,14:21,21:00,6:39,Fresh Kills,Event,
7/20/2015,Con Edison,DLC,16:09,23:00,6:51,Harrison,Event,
7/20/2015,Con Edison,DLC,16:55,23:00,6:05,Pennsylvania,Event,
7/20/2015,Con Edison,DLRP,6:00,12:00,6:00,Richmond Hill,Event,
7/20/2015,Con Edison,DLRP,14:00,20:00,6:00,Fox Hills,Event,
7/20/2015,Con Edison,DLRP,14:21,21:00,6:39,Fresh Kills,Event,
7/20/2015,Con Edison,DLRP,16:09,23:00,6:51,Harrison,Event,
7/20/2015,Con Edison,DLRP,16:55,23:00,6:05,Pennsylvania,Event,
7/21/2015,Con Edison,CSRP,11:00,12:00,1:00,All,Test,
7/21/2015,Con Edison,CSRP,14:00,15:00,1:00,All,Test,
7/21/2015,Con Edison,CSRP SC 11,14:00,15:00,1:00,Southeast Bronx,Test,
7/21/2015,Con Edison,CSRP,16:00,17:00,1:00,All,Test,
7/21/2015,Con Edison,CSRP,19:00,20:00,1:00,All,Test,
7/21/2015,Con Edison,DLC,14:00,20:00,6:00,Fox Hills,Event,
7/21/2015,Con Edison,DLRP,14:00,20:00,6:00,Fox Hills,Event,
7/13/2016,Con Edison,DLRP,16:00,17:00,1:00,All,Test,
7/13/2016,Con Edison,DLC,16:00,17:00,1:00,All,Test,
7/15/2016,Con Edison,DLC,14:00,20:00,6:00,Fresh Kills,Event,Immediate
7/15/2016,Con Edison,DLRP,14:00,20:00,6:00,Fresh Kills,Event,Immediate
7/22/2016,Con Edison,DLC,17:00,23:00,6:00,Fox Hills,Event,Immediate
7/22/2016,Con Edison,DLRP,17:00,23:00,6:00,Fox Hills,Event,Immediate
7/23/2016,Con Edison,DLRP,22:00,0:00,2:00,Triboro,Event,Immediate
